Identifier,Woreda,Kebele,School Name,Lat,Lot,Latitude,Longitude,School Type,Male Pupils,Female Pupils,Water Service Level,Main Source of Drinking Water Provided by the School,Main Water Source is Currently Available at the School,Sanitation Service Level,Type of Student Toilets at the School,Number of Student Toilets Currently Usable,Toilets are Separate for Girls and Boys,Hygiene Service Level,Handwashing Facilities are at the School,Soap and water available at the handwashing facilities
a2rg-beb8-xasq,Negelle Arsi,Jido Fikee,Jido Fikee,451090,835100,42.01765091,4.07540576,Primary(1-8),302,290,,,,,,,,,,
qa64-4n40-gmqp,Negelle Arsi,X urge,X urge,464746,805945,41.75574492,4.199749697,Primary(1-8),582,564,,,,,,,,,,
q3me-nfuu-mxhc,Negelle Arsi,Rafu,Rafu,462607,822421,41.90395288,4.17988465,Primary(1-4),73,77,,,,,,,,,,
m7pu-1f4x-qtp5,Negelle Arsi,CafaDuro,CafaDuro,477240,806341,41.75971132,4.312636016,Primary(1-8),212,213,,,,,,,,,,
nfrc-vpnx-d23f,Negelle Arsi,Lalesa,Lalesa,470215,829011,41.96351453,4.248397835,Primary(1-8),372,389,,,,,,,,,,
th9b-w3bx-5urt,Negelle Arsi,Q/Arba,Q/Arba,469175,825922,41.93568009,4.239108108,Primary(1-8),153,152,,,,,,,,,,
6pcf-u075-uuew,Negelle Arsi,Bombaso,Bombaso,472657,806054,41.75697919,4.271232219,Primary(1-8),258,261,,,,,,,,,,
9dat-46wg-tavg,Negelle Arsi,W/Hargisa,W/Hargisa,464095,821476,41.89549833,4.193360555,Primary(1-8),274,231,,,,,,,,,,
auxs-y6cg-et5e,Negelle Arsi,L/Laga,L/Laga,441714,843143,42.08968952,3.990431008,Primary(1-4),192,176,,,,,,,,,,
upvv-stxy-myft,Negelle Arsi,Awade,Awade,463687,808635,41.7799216,4.190094395,Primary(1-4),54,55,,,,,,,,,,
kk59-vqer-0a80,Negelle Arsi,Burqa Gudina,Burqa Gudina,475476,815154,41.83898038,4.296404367,Primary(1-8),91,92,,,,,,,,,,
m8ts-bk4k-cm8y,Negelle Arsi,Aga,Aga,481480,804385,41.7422422,4.351014078,Primary(1-8),290,289,,,,,,,,,,
h8ne-5mmr-ajxe,Negelle Arsi,Ciri,Ciri,473978,816593,41.85188217,4.282820733,Primary(1-4),248,263,,,,,,,,,,
atj1-rmfx-5v03,Negelle Arsi,Calalaka,Calalaka,477069,806319,41.75950771,4.31109154,Primary(1-8),383,370,,,,,,,,,,
w7kf-1jju-9eta,Negelle Arsi,Basaku,Basaku,479098,812318,41.81357441,4.329226889,Primary(1-8),588,622,,,,,,,,,,
1vty-297y-b38t,Negelle Arsi,Sad.2ffa Dole,Sad.2ffa Dole,463616,832044,41.99058058,4.188674135,Primary(1-8),167,144,,,,,,,,,,
y86r-4y3u-vqeg,Negelle Arsi,M/kadho,M/kadho,446523,838983,42.05242999,4.034015578,Primary(1-8),258,232,,,,,,,,,,
