Woreda,Kebele,School Name,Latitude,Longitude,School Type,Male Pupils,Female Pupils,Reason for Inventory,Water Supply Source,Water,Year Commisioned,Functionality_Status_of_Water_Supply,Yield,Type of Latrine,Sanitation,latrine_For_Boys_and_Girls_Separate,Number of Boy Pupils,Number of Girl Pupils,Are there Latrines for Disabled?,Latrine_Condition,Presence_of_HandWashingFacility,,hand_washing_in_use,availability_of_soap,Urinal_present_girls,Urinal_present_boys,Separate_latrine_for_tolitet_Staff
Negelle Arsi,Alge lak 2,Alge lak 2,7.58240387,38.46326708,Primary(1-4),211,140,,No Water Supply In Premises,No Service,,,,Simple Pit Latrine,Limited,Yes,211,140,No,Dirty But Used,No Service,Yes,No,No,No,No,No
Negelle Arsi,L/Laman,L/Laman,7.586173911,38.54927343,Primary(1-4),243,232,,No Water Supply In Premises,No Service,,,,Simple Pit Latrine,Limited,Yes,243,232,No,Dirty But Used,No Service,Yes,No,No,No,No,No
Negelle Arsi,G/Dhoqona,G/Dhoqona,7.385344636,38.69826502,Primary(1-8),270,247,,,No Service,,,,Simple Pit Latrine,Limited,Yes,270,247,No,Dirty But Used,No Service,Yes,No,No,No,No,No
Negelle Arsi,Gonde,Gonde,7.259569855,38.75292873,Primary(1-8),395,338,,,No Service,,,,Simple Pit Latrine,Limited,Yes,395,338,No,Dirty But Used,No Service,Yes,No,No,No,No,No
Negelle Arsi,Mararo,Mararo,7.207585938,38.77479528,Primary(1-8),300,317,,No Water Supply In Premises,No Service,,,,Simple Pit Latrine,Limited,Yes,300,317,No,Dirty But Used,No Service,Yes,No,No,No,No,No
Negelle Arsi,Xixa,Xixa,7.29062346,38.72090484,Primary(1-8),318,331,,No Water Supply In Premises,No Service,,,,Simple Pit Latrine,Limited,Yes,318,331,No,Dirty But Used,No Service,Yes,No,No,No,No,No
Shashemene,K/Filicha,K/F/Gudina,7.23974514,38.64840598,Primary(1-8),592,538,Repair,Pipeline Connection,Basic,2004,Non Functional - Mechanical,,Simple Pit Latrine,Limited,Yes,592,538,Yes,Dirty But Used,No Service,No,No,No,Yes,No,Yes
Negelle Arsi,Wincitu,Wincitu,7.325401987,38.73193658,Primary(1-8),238,245,,No Water Supply In Premises,No Service,,,,Simple Pit Latrine,Limited,Yes,238,245,No,Dirty But Used,No Service,Yes,No,No,No,No,No
Negelle Arsi,Reji,Reji,7.26363969,38.76863462,Primary(1-8),517,520,,No Water Supply In Premises,No Service,,,,Simple Pit Latrine,Limited,Yes,517,520,No,Dirty But Used,No Service,Yes,No,No,No,No,No
Negelle Arsi,Burkitu,Burkitu,7.232914728,38.79506427,Primary(1-8),176,177,,No Water Supply In Premises,No Service,,,,Simple Pit Latrine,Limited,Yes,176,177,No,Dirty But Used,No Service,Yes,No,No,No,No,No
