Identifier,District,Municipality/Union,Ward Number,School Name,Latitude,Longitude,School Type,Total number of Boys enrolled in the school,Total number of Girls enrolled in the school,What is the total enrolment in the school?,What is the regular number of staff in the school?,Drinking Water,Is there an improved water source that serves the school?,What is the type of improved water source?,What year was the water facility constructed?,Who funded the construction of the water point?,Sanitation,Does the school have any sanitation facilities?,What type of sanitation facilities are present?,"In total, how many functioning stances are for females?","IN total, how many functioning stances are for Males?",Is there a sanitation facility accessible to students with disabilities?,In what year was the latest (MOST RECENT) sanitation facility constructed?,"Condition of the superstructure, roof, walls, and doors",Condition are the floor/slabs/platform,Latrines/cesspits last emptied?,Who paid for the emptying service?,Hygiene,Is there a place for handwashing?,Is there water available at the handwashing station?,Is there soap at hand washing station?,Are there any abandoned or not in use sanitation facilities on the plot that pose a risk or threat to the safety of children?,Do community members not attending the school ever come to use the sanitation facilities?
58w9-7rjn-gwyx,Satkhira,Jhaudanga Union,6,Tujolpur G. C. High school,22.79180778,89.04926975,Secondary,200,192,392,13,Basic,Yes,Shallow tubewell/borehole,,,Basic,Yes,toilet that flush/poor flush to piped sewer system,3,3,No,,,,,,Basic,Yes,Yes,Yes,,
4eqv-rjn2-tmr3,Barguna,Paurashava,6,এমইউ বালিক মাধ্যমিক বিদ্যালয় সংলগ্ন সরকারী প্রাথমিক বিদ্যালয়,22.13872516,90.22908107,Primary,54,52,106,5,Limited,Yes,Deep tubewell/borehole,,,Limited,Yes,Twinpit offset latrine,,,No,,Good and well-raised wall with roof and door,Good - No cracks or gaps,,,Basic,Yes,Yes,Yes,,
u19n-u26e-6q53,Barguna,Paurashava,6,মফিজউদ্দীন বালিকা পাইলট মাধ্যমিক বিদ্যালয়,22.13817737,90.22903566,Secondary,0,600,600,21,Basic,Yes,Deep tubewell/borehole,,,Limited,Yes,Ventilated Improved Pit latrine (VIP),,,No,,"Medium - walls are decent, semi permanent door and roof",Medium - some minor cracks,,,Basic,Yes,Yes,Yes,,
ktf2-meye-a0t1,Barguna,Paurashava,6,আমতলী বন্দর হোসাইনিয়া ফাজিল মাদরাসা,22.1398627,90.22884016,Madrassa,404,619,1023,25,Basic,Yes,Deep tubewell/borehole,,,Limited,Yes,Ventilated Improved Pit latrine (VIP),10,10,No,,"Poor - short wall, poor or no door",Medium - some minor cracks,,,Basic,Yes,Yes,Yes,,
2pjg-xvj8-0adx,Satkhira,Shatkhira Municipality,3,সাতক্ষীরা আলিয়া কামিল মাদ্রাসা,22.69857141,89.09035513,Madrassa,1099,735,1834,29,Basic,Yes,Deep tubewell/borehole,,,Limited,Yes,toilet that flush/poor flush to septic tank,2,2,No,,Good and well-raised wall with roof and door,Good - No cracks or gaps,,,Limited,Yes,Yes,No,,
n1dj-q0fu-rdr8,Satkhira,Shatkhira Municipality,4,টাইন সুলতানপুর সরকারি প্রাথমিক বিদ্যালয়,22.70476181,89.07502524,Primary,180,135,315,10,Basic,Yes,Shallow tubewell/borehole,,,Limited,Yes,toilet that flush/poor flush to septic tank,2,2,No,,Good and well-raised wall with roof and door,Good - No cracks or gaps,,,Basic,Yes,Yes,Yes,,
p0p4-c98m-eb76,Satkhira,Shatkhira Municipality,8,Kamalngor government praimary school,22.70822029,89.06804193,Primary,186,219,405,10,Basic,Yes,Shallow tubewell/borehole,,,Limited,Yes,toilet that flush/poor flush to septic tank,3,3,Yes,,Good and well-raised wall with roof and door,Good - No cracks or gaps,,,Limited,Yes,Yes,No,,
jkf3-x0eq-wqhq,Satkhira,Shatkhira Municipality,3,Satkhira aAdorsso Mohila Dakhil Maddrasa,22.69864528,89.09206609,Madrassa,0,353,353,15,Basic,Yes,Shallow tubewell/borehole,,,Limited,Yes,Pit latrine with slab,,,No,,Good and well-raised wall with roof and door,Good - No cracks or gaps,,,Basic,Yes,Yes,Yes,,
6t9s-2qnr-0013,Satkhira,Balli Union,2,বল্লী মোঃ মুজিবুর রহমান মাধ্যমিক বিদ্যালয়,22.787444,89.06856146,Secondary,498,296,794,28,Basic,Yes,Bottled water,,,Limited,Yes,toilet that flush/poor flush to septic tank,3,3,No,,,,,,Limited,Yes,Yes,No,,
mcyk-u1t5-c12n,Satkhira,Agardari,3,Narayanjal Govt primary school,22.77084956,89.00490588,Primary,60,60,120,5,Basic,Yes,Deep tubewell/borehole,,,Limited,Yes,toilet that flush/poor flush to septic tank,,,No,,,,,,Basic,Yes,Yes,Yes,,
